=== 2025-12-04 15:49 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 122114 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 303195 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 106642 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 904 rules
https://big.oisd.nl → added 216125 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 236900 rules
Total rules after normalization and dedupe: 472416
=== 2025-12-05 01:49 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 122213 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 303461 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 106642 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 903 rules
https://big.oisd.nl → added 218187 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 237017 rules
https://raw.githubusercontent.com/jackszb/sing-box-abc/main/httpdns-cn.txt → added 63 rules
Total rules after normalization and dedupe: 472897
=== 2025-12-05 03:50 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 122237 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 303461 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 106642 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 903 rules
https://big.oisd.nl → added 218187 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 237131 rules
https://raw.githubusercontent.com/jackszb/sing-box-abc/main/httpdns-cn.txt → added 63 rules
Total rules after normalization and dedupe: 472932
=== 2025-12-05 08:14 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 122290 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 303461 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 107185 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 903 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 237207 rules
https://big.oisd.nl → added 217685 rules
Total rules after normalization and dedupe: 473523
=== 2025-12-05 09:13 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 122290 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 303461 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 107185 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 903 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 237242 rules
https://big.oisd.nl → added 217547 rules
Total rules after normalization and dedupe: 473428
=== 2025-12-06 03:41 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 120559 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 304174 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 107185 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 903 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 233733 rules
https://big.oisd.nl → added 217820 rules
Total rules after normalization and dedupe: 473429
=== 2025-12-06 10:45 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 120406 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 304174 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 107192 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 903 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 233672 rules
https://big.oisd.nl → added 216782 rules
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/pro.plus.txt → added 193242 rules
https://malware-filter.gitlab.io/malware-filter/urlhaus-filter-agh.txt → added 34488 rules
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 120406 rules
https://blocklist.sefinek.net/generated/v1/adguard/ads/adaway/hosts.fork.txt → added 6540 rules
https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&showintro=0&mimetype=plaintext → added 0 rules
https://raw.githubusercontent.com/PolishFiltersTeam/KADhosts/master/KADhosts.txt → added 0 rules
https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts → added 0 rules
https://raw.githubusercontent.com/FadeMind/hosts.extras/master/UncheckyAds/hosts → added 0 rules
https://raw.githubusercontent.com/DandelionSprout/adfilt/master/Alternate%20versions%20Anti-Malware%20List/AntiMalwareAdGuardHome.txt → added 15135 rules
https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts → added 0 rules
https://raw.githubusercontent.com/bigdargon/hostsVN/master/hosts → added 0 rules
https://phishing.army/download/phishing_army_blocklist_extended.txt → added 159779 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_30.txt → added 20834 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_53.txt → added 857 rules
https://v.firebog.net/hosts/Prigent-Ads.txt → added 4270 rules
https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt → added 0 rules
https://hostfiles.frogeye.fr/firstparty-trackers-hosts.txt → added 0 rules
https://lists.cyberhost.uk/malware.txt → added 20091 rules
https://bitbucket.org/ethanr/dns-blacklists/raw/8575c9f96e5b4a1308f2f12394abd86d0927a4a0/bad_lists/Mandiant_APT1_Report_Appendix_D.txt → added 2046 rules
https://v.firebog.net/hosts/RPiList-Malware.txt → added 290974 rules
https://raw.githubusercontent.com/AssoEchap/stalkerware-indicators/master/generated/hosts → added 919 rules
https://blocklistproject.github.io/Lists/adguard/abuse-ags.txt → added 435087 rules
https://blocklistproject.github.io/Lists/adguard/ads-ags.txt → added 154520 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_16.txt → added 0 rules
https://gitlab.com/hagezi/mirror/-/raw/main/dns-blocklists/adblock/native.tiktok.txt → added 365 rules
https://gitlab.com/hagezi/mirror/-/raw/main/dns-blocklists/adblock/native.winoffice.txt → added 381 rules
https://gitlab.com/hagezi/mirror/-/raw/main/dns-blocklists/adblock/native.vivo.txt → added 225 rules
https://gitlab.com/hagezi/mirror/-/raw/main/dns-blocklists/adblock/native.samsung.txt → added 197 rules
https://v.firebog.net/hosts/Easyprivacy.txt → added 42173 rules
https://raw.githubusercontent.com/AssoEchap/stalkerware-indicators/master/generated/hosts → added 919 rules
https://v.firebog.net/hosts/Easylist.txt → added 43886 rules
https://raw.githubusercontent.com/anudeepND/blacklist/master/adservers.txt → added 0 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_29.txt → added 130368 rules
https://raw.githubusercontent.com/durablenapkin/scamblocklist/refs/heads/master/adguard.txt → added 1180 rules
https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/refs/heads/master/RAW/Scam → added 7155 rules
https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/refs/heads/master/RAW/Tracking → added 96713 rules
https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/refs/heads/master/RAW/Malware → added 42188 rules
https://raw.githubusercontent.com/ShadowWhisperer/BlockLists/refs/heads/master/RAW/Ads → added 8351 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_21.txt → added 98233 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_25.txt → added 369 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_15.txt → added 0 rules
https://adguardteam.github.io/HostlistsRegistry/assets/filter_7.txt → added 144 rules
https://raw.githubusercontent.com/ZingyAwesome/easylists-for-pihole/master/easyprivacy.txt → added 40129 rules
https://raw.githubusercontent.com/durablenapkin/scamblocklist/master/adguard.txt → added 1180 rules
https://raw.githubusercontent.com/Spam404/lists/master/main-blacklist.txt → added 8140 rules
https://blocklistproject.github.io/Lists/ads.txt → added 0 rules
https://blocklistproject.github.io/Lists/phishing.txt → added 0 rules
https://blocklistproject.github.io/Lists/malware.txt → added 0 rules
https://blocklistproject.github.io/Lists/tracking.txt → added 0 rules
Total rules after normalization and dedupe: 1464434
=== 2025-12-06 11:03 UTC ===
https://adguardteam.github.io/AdGuardSDNSFilter/Filters/filter.txt → added 120406 rules
https://raw.githubusercontent.com/jackszb/Sukka-AdGuard/main/domains.adblock → added 304174 rules
https://raw.githubusercontent.com/jackszb/mullvad-to-adguard/main/adguard/categories/adblock/adblock.txt → added 126449 rules
https://raw.githubusercontent.com/neodevpro/neodevhost/master/adblocker → added 107192 rules
https://raw.githubusercontent.com/TG-Twilight/AWAvenue-Ads-Rule/main/AWAvenue-Ads-Rule.txt → added 903 rules
https://raw.githubusercontent.com/jackszb/DNSBlocklists/auto-update/Advertising.txt → added 233672 rules
https://big.oisd.nl → added 216827 rules
Total rules after normalization and dedupe: 473516
=== 2025-12-06 11:07 UTC ===
